"id","company","street","housenum","postalcode","city","country","notes"
255,"",Eisenhowerweg,"15","5466 AB",Veghel,NL,"SEGMENT: IND, DIN"
256,"",Hoekwei,"12","4004 LX",Tiel,NL,"SEGMENT: IND, DIN, GRP, MTG"
257,"","","","","","",SEGMENT: LONGSTAY
258,"","","","","","",SEGMENT: MTG + #
259,"","","","","","","SEGMENT: MTG + #, GRP"
260,"","","","","","","SEGMENT: MTG + #, GRP, IND"
261,"","","","","","","SEGMENT: MTG + #, GRP, IND"
262,"",Partizanska,"228","11277",Ugrinovci,RS,"SEGMENT: MTG + #, GRP, IND"
263,"","","","","","",SEGMENT: MTG + #
264,"","","","","","","SEGMENT: Incentive, GRP"
265,"","","","","","","SEGMENT: MTG + #, TRANINGEN"
266,"","","","","","","SEGMENT: MTG + #, TRANINGEN"
267,"","","","","","","SEGMENT: INDD, GRP, TRANSFERS"
268,"","","","","","",SEGMENT: MTG + #
269,"","","","","","",SEGMENT: MTG + #
270,"","","","","","",SEGMENT: MTG + #. CONF
271,"","","","","","",SEGMENT: MTG + #. CONF
272,"","","","","",NL,""
273,"","","","","",NL,""
275,"","","","","",NL,""
276,"","","","","",NL,""
277,"","","","","",NL,"18.06 gebeld voor digitale wijnproeverij"
278,Digiborrel.nl / Compabox B.V.,Laan van Kronenburg,"14","1183 AS",Amstelveen,NL,"<html>
<head>
	<title></title>
</head>
<body>Organisator van online bedrijfsborrels<br />
<br />
Bestelling via&nbsp;<a href=""https://digiborrel.typeform.com/to/Dpicxg"">https://digiborrel.typeform.com/to/Dpicxg</a></body>
</html>
"
279,"","","","","",NL,""
280, Park Centraal Den Haag Operations B.V.,Molenstraat,"53","2513BJ",'s-Gravenhage,NL,"<html>
<head>
	<title></title>
</head>
<body><span style=""font-size:12.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:black"">kortingscode is gelijk geldig op onze website (of via e-mail &amp; telefoon): <b>CMP24</b></span></span></span></body>
</html>
"
281,"","","","","",NL,""
284,Sircle Collection B.V.,Nieuwezijds Voorburgwal,"271","1012 RL",Amsterdam,NL,"Contract met Park Centraal Den Haag & Amsterdam, zie sub-suppliers"
285,VAN DER Valk Business B.V.,Burgemeester Burgerslaan,"40A","5245 NH",Rosmalen,NL,"<html>
<head>
	<title></title>
</head>
<body>Groepsaanvragen mogen per oktober 2020 weer via hotels direct om vertraging te voorkomen. graag wel businessdesk en Brigitte bogers op de CC zetten, individuele overnachtingen via het portal: https://www.vandervalkcorporates.nl/ | Username: stijn@corporatemeetingpartner.com WW: CMPowner123<br />
<br />
Vooor IND boekingen geen commissie over ontbijt!</body>
</html>
"
286,NH Hotel Group S.A.,Santa Engracia,"120","28003",Madrid,ES,"<html>
<head>
	<title></title>
</head>
<body>Individuele overnachtingen wereldwijd via VipDesk, MICE via GroupDesk.<br />
PID Nr 1022485086<br />
Contact: Albert (Andr&eacute;)</body>
</html>
"
287,Aeon Plaza Hotels Management B.V.,John M. Keynesplein,"2","1066 EP",Amsterdam,NL,""
288,Valk Exclusief,Winthontlaan,"4 - 6","3526 KV",Utrecht,NL,"Let op: commissie regels verschillen per hotel, altijd herbevestigen"
289,Hilton Hotels & resorts,Schiphol Boulevard,"701","1118 BN",Schiphol,NL,"<html>
<head>
	<title></title>
</head>
<body>met diverse NL hotels hebben wij krediet, aanvragen NL Jarno, Global aanvragen via Irina Hihani &amp; Gert-jan Steltman</body>
</html>
"
290,Hilton International Nederland B.V.,Apollolaan,"138","1077 BG",Amsterdam,NL,"<html>
<head>
	<title></title>
</head>
<body>Krediet bij Schiphol en Den Haag.<br />
<br />
Hilton Honnors nummer VOOR GROEPEN EN MEETINGS: 571554045<br />
<br />
<span style=""font-size:11pt;""><span style=""font-family:Calibri, sans-serif;""><span lang=""en-us"" style=""color:#2f5496;"" xml:lang=""en-us"">2024: Hierbij kan ik een commissie van 10% op de netto kamer prijs exclusief ontbijt, meetings/ddr pakketen en pre-booked F&amp;B aanbieden voor CMP voor de volgende zes hotels die wij managen:</span></span></span><br />
<br />
<span style=""font-size:11pt;""><span style=""font-family:Calibri, sans-serif;""><span lang=""en-us"" style=""color:#2f5496;"" xml:lang=""en-us"">Hilton Amsterdam</span></span></span><br />
<span style=""font-size:11pt;""><span style=""font-family:Calibri, sans-serif;""><span lang=""en-us"" style=""color:#2f5496;"" xml:lang=""en-us"">DoubleTree by Hilton Amsterdam Centraal Station </span></span></span><br />
<span style=""font-size:11pt;""><span style=""font-family:Calibri, sans-serif;""><span lang=""en-us"" style=""color:#2f5496;"" xml:lang=""en-us"">Hilton Amsterdam Airport Schiphol</span></span></span><br />
<span style=""font-size:11pt;""><span style=""font-family:Calibri, sans-serif;""><span lang=""en-us"" style=""color:#2f5496;"" xml:lang=""en-us"">Hilton The Hague</span></span></span><br />
<span style=""font-size:11pt;""><span style=""font-family:Calibri, sans-serif;""><span lang=""en-us"" style=""color:#2f5496;"" xml:lang=""en-us"">Hilton Rotterdam</span></span></span><br />
<span style=""font-size:11pt;""><span style=""font-family:Calibri, sans-serif;""><span lang=""en-us"" style=""color:#2f5496;"" xml:lang=""en-us"">DoubleTree by Hilton Royal Parc Soestduinen</span></span></span><br />
&nbsp;</body>
</html>
"
291,ALL - Accor Live Limitless,Stationsplein-ZW,"981","1117 CE",Schiphol,NL,"<html>
<head>
	<title></title>
</head>
<body>MICE aanvragen tot 50 deelnemer doen via&nbsp;<span lang=""EN-GB"" style=""font-size:11.0pt""><span style=""font-family:&quot;Aptos&quot;,sans-serif""><a href=""https://www.accor-ena-groups.com/?companyId=308263"" style=""color:#0563c1; text-decoration:underline"">https://www.accor-ena-groups.com/?companyId=308263</a></span></span></body>
</html>
"
292,Locke Living,"","","","","",""
293,Bilderberg,Herikerbergweg,"1 - 35","1101 CN",Amsterdam,NL,Commissie no-show/late annulering 5% contractueel
294,Carlton Hotel Collection,Floraweg,"25","3542 DX",Utrecht,NL,Met 2 NL hotels hebben wij contract afspraken en krediet
295,Golden Green Hotels,Schipholweg,"3","2316 XB",Leiden,NL,""
296,Radisson Hotel Group,Boeingavenue,"2","1119 PB",Schiphol-Rijk,NL,Commissies verschillen per hotel en per land. Altjd mee onderhandelen dat er commissie op No-show en CXL wordt gegeven
297,Fletcher Hotel Exploitaties B.V.,Buizerdlaan,"2","3435 SB",Nieuwegein,NL,"Commissie altijd laten bevestigen. Let op annuleringstermijn individuele reserveringen, kan altijd naar 24h worden onderhandeld"
298,The Tree Corners Hotels & Resorts,"","","","","",""
299,Marriott International Inc.,Fernwood Road,"10400","20817","Bethesda, MD",US,"<html>
<head>
	<title></title>
</head>
<body>Vragen/auth forms/etc. wereldwijd via: <a href=""https://www.marriott.com/marriott/contact.mi"">https://www.marriott.com/marriott/contact.mi</a><br />
<br />
Marriot Bonvoy member:&nbsp;<br />
NAAM: Corporate Meeting Partner<br />
NUMMER:&nbsp;294423160</body>
</html>
"
300,Hyatt Hotels and Resorts,Roemerpassage,"1",D-55116,Mainz,DE,"<html>
<head>
	<title></title>
</head>
<body>Commissie altijd laten bevestigen.<br />
<br />
CREDIT CARD AUTHORISATION FORMS:<br />
https://sertifiguidedapi.com/custom/hyatt.aspx&nbsp;</body>
</html>
"
301,WestCord Hotels B.V.,Achlumerdijk,"133","8862 AL",Harlingen,NL,"<html>
<head>
	<title></title>
</head>
<body>Commissie altijd laten bevestigen.<br />
<br />
KAMERS: 12% <u><strong>(Ontbijt is 10%)</strong></u><br />
DDR: 10%<br />
Zaalhuur:10%<br />
Pre-Booked F&amp;B: 10%<br />
<br />
Hoe kunt u boeken:<br />
 Ga naar onze website www.westcordhotels.nl<br />
 Kies een stad en WestCord Hotel<br />
 Stap 1: Vul uw bedrijfscode in <strong>C1555</strong><br />
 Stap 2: Reserveer de nachten<br />
 De bevestiging van uw reservering is direct op uw scherm en in printversie beschikbaar</body>
</html>
"
302,Best Western Hotels & Resorts,Nijverheidsweg-Noord,"74C","3812 PM",Amersfoort,NL,Commissie altijd laten bevestigen.
303,Groen Centraal,Traaij,"299","3971 GM",Driebergen-Rijsenburg,NL,Commissie altijd laten bevestigen.
304,Fine Hotels & Suites,Laan Copes van Cattenburgh,"38 - 40","2585 GB",Den Haag,NL,""
305,City ID Group,Naritaweg,"51","1043 BP",Amsterdam,NL,""
306,Corendon Village Amsterdam - Badhoevedorp,Schipholweg,"275","1171 PK",Badhoevedorp,NL,""
307,Inntel Hotels,Capellalaan,"131","2132 JM",Hoofddorp,NL,"15% korting op BAR"
308,InterContinental Hotel Group,"Broadwater Park, Denham","",UB9 5HR,Uxbridge,GB,Groepsaanvragen via groupdesk
309,Vishandel Gebr. Simonis B.V.,"","","","","",""
310,Big Horeca,Oosteinde,"116","2271 EJ",Voorburg,NL,"<html>
<head>
	<title></title>
</head>
<body>10% commissie op netto eindfactuur van Gina &amp; Volle Maan. Ook O&#39;Learys Mall, bowlen, enz.&nbsp; 10% Commissie</body>
</html>
"
311,Event Company,Van Vredenburchweg,"105","2283 TC",Rijswijk,NL,""
312,Igluu,"","","","","",""
313,Hotel V & The Lobby,"","","","","",""
314,"","","","","",NL,"<html>
<head>
	<title></title>
</head>
<body>&nbsp;</body>
</html>
"
315,Landgoed Hotel & Restaurant Groot Warnsborn,Bakenbergseweg,"277","6816 VP",Arnhem,NL,"<html>
<head>
	<title></title>
</head>
<body>Contact gehad met Wiebe de Vries</body>
</html>
"
316,"","","","","",NL,""
317,"","","","","",NL,""
318,"","","","","",NL,""
319,"","","","","",NL,""
320,"","","","","","",""
321,"","","","","","",""
322,"","","","","","",""
323,"","","","","","",""
324,"","","","","","",""
325,"","","","","",NL,""
326,"","","","","","",""
327,"",Nieuwezijds Voorburgwal,"271","1012 RL",Amsterdam,NL,""
328,"",Nieuwezijds Voorburgwal,"271","1012 RL",Amsterdam,NL,""
329,Up Events,Tom Schreursweg,"8","1067MC",Amsterdam,NL,"<html>
<head>
	<title></title>
</head>
<body>10% comm netto eindfactuur</body>
</html>
"
330,Park Centraal Den Haag Operations B.V.,Molenstraat,"53","2513 BJ",Den Haag,NL,"<html>
<head>
	<title></title>
</head>
<body>Contract afspraken 2020, Commissie en room rates. 132,50 in/ex Superior room.<br />
<br />
CONTRACTPRIJS 2022: &euro; 136,- op basis van een classic room.</body>
</html>
"
331,"","","","","","",""
332,"","","","","","",""
333,Park Hotel B.V.,Stadhouderskade,"25","1071 ZD",Amsterdam,NL,"Contract afspraken, commissie over BAR in/ex"
334,"","","","","","",""
335,Sir Albert Hotel B.V.,Albert Cuypstraat,"2 - 6","1072 CT",Amsterdam,NL,""
336,"","","","","","",""
337,"","","","","","",""
338,Van der Valk Hotel Amersfoort-A1,Ruimtevaart,"22","3824 MX",Amersfoort,NL,"<html>
<head>
	<title></title>
</head>
<body>Stadsbelasting Euro 2.40 p.p.p.n.</body>
</html>
"
339,Van der Valk Ara,Veerweg,"8-10","3336 LM",Zwijndrecht,NL,""
340,Motel Breukelen B.V.,Stationsweg,"91","3612 LK",Breukelen,NL,""
341,"","","","","","",""
342,Motel Gilze Exploitatie B.V.,Klein Zwitserland,"8","5126 TA",Gilze,NL,""
343,"","","","","","",""
344,Hotel Groningen-Hoogkerk B.V.,Borchsingel,"53","9766 PP",Eelderwolde,NL,""
345,"","","","","","",""
346,Van der Valk Hilversum - De Witte Bergen,Rijksweg,"2","3755 MV",Eemnes Laren,NL,""
347,Hotel Hoorn B.V.,Westfriese Parkweg,"1","1625 MA",Hoorn,NL,""
348,"","","","","","",""
349,Van der Valk Hotel Amsterdam - Amstel,Joan Muyskenweg,"20","1096 CJ",Amsterdam,NL,""
350,"","","","","","",""
351,Van der Valk Hotel Apeldoorn - de Cantharel,Van Golsteinlaan,"20","7339 GT",Ugchelen,NL,""
352,Van der Valk Hotel Arnhem,Amsterdamseweg,"505","6816 VK",Arnhem,NL,""
353,B.V. Princeville Exploitatie,Princenhagelaan,"5","4813 DA",Breda,NL,""
354,"","","","","","",""
355,Van der Valk Hotel Cuijk - Nijmegen,Raamweg,"10","5431 NH",Cuijk,NL,""
356,Hotel-Café-Restaurant De Biltsche Hoek Exploitatie B.V.,De holle Bilt,"1","3732 HM",De Bilt,NL,""
357,"","","","","","",""
358,Van der Valk Hotel de Molenhoek,Rijksweg,"1","6584 AA",Molenhoek,NL,""
359,Van der Valk Hotel Den Haag - Wassenaar,Zijdeweg,"54","2245 BZ",Wassenaar,NL,"<html>
<head>
	<title></title>
</head>
<body>CONTRACTPRIJZEN 2023:<br />
TOT 30.06.23: COMFORT KAMER &euro; 115,- Incl. BTW en ontbijt. ex city tax.<br />
<br />
VANAF 04.09.23: Deluxe KAMER &euro; 125,- Incl. BTW en ontbijt. ex city tax. TOT EIND VAN HET JAAR 2023.<br />
&nbsp;</body>
</html>
"
360,Van der Valk Hotel Drachten,Lavendelheide,"4","9202 PD",Drachten,NL,""
361,Motel E3 Eindhoven Exploitatie B.V.,Aalsterweg,"322","5644 RL",Eindhoven,NL,""
362,"","","","","","",""
363,Van der Valk Hotel Groningen Westerbroek,Rijksweg West,"11","9608 PA",Westerbroek,NL,""
364,Van der Valk Hotel Groningen Zuidbroek,Burgermeester Omtaweg,"4","9636 EM",Zuidbroek,NL,""
365,Van der Valk Hotel Hardegarijp,Rijksstraatweg,"36","9254 DJ",Hardegarijp,NL,""
366,Van der Valk Hotel het Arresthuis,Pollartstraat,"7","6041 GC",Roermond,NL,""
367,Van der Valk Hotel Nuland,Rijksweg,"25","5391 LH",Nuland,NL,""
368,Van der Valk Sassenheim/Leiden,Warmonderweg,"8","2171 AH",Sassenheim,NL,""
369,"","","","","","",""
370,Van der Valk Hotel Stein - Urmond,Mauritslaan,"65","6129 EL",Urmond,NL,""
371,Van der Valk Exclusief Hotel Tiel,Laan van Westroyen,"10","4003 AZ",Tiel,NL,""
372,"","","","","","",""
373,Van der Valk Hotel Uden - Veghel,Rondweg,"2","5406 NK",Uden,NL,""
374,A12 Van der Valk Hotel Veenendaal B.V.,Bastion,"73","3905 NJ",Veenendaal,NL,""
375,"","","","","","",""
376,Van der Valk Hotel Venlo,Nijmeegseweg,"90","5916 PT",Venlo,NL,""
377,Hotel Leusden B.V.,Philipsstraat,"18","3833 LC",Leusden,NL,""
378,"","","","","","",""
379,Van der Valk Nijmegen Lent ,Hertog Eduardplein,"4","6663 AN",Nijmegen,NL,""
380,"","","","","","",""
381,Van der Valk Rotterdam Ridderkerk,Krommeweg,"1","2988 CB",Ridderkerk,NL,""
382,Van der Valk Hotel 's-Hertogenbosch – Vught,Bosscheweg,"2","5261 AA",Vught,NL,""
383,"","","","","","",""
384,Theaterhotel De Oranjerie B.V.,Kloosterwandplein,"12-16","6041 JA",Roermond,NL,""
385,"","","","","","",""
386,Van der Valk Theaterhotel Almelo,Schouwenburgplein,"1","7607 AE",Almelo,NL,""
387,Van der Valk Volendam,Wagenweg,"1","1145 PW",Katwoude,NL,""
388,Hotel Zaltbommel Exploitatie B.V.,Hogeweg,"65","5301 LJ",Zaltbommel,NL,""
389,"","","","","","",""
390,"","","","","","",""
391,"","","","","","",Albert = Andre :-)
392,"","","","","","",""
395,NH Veluwe Sparrenhorst,EPERWEG,"46","8072 DB",Nunspeet,NL,""
396,"","","","","","",""
397,NH Amersfoort,STATIONSSTRAAT,"75","3811 MH",Amersfoort,NL,"<html>
<head>
	<title></title>
</head>
<body>Stadsbelasting Euro 2.40 p.p.p.n.</body>
</html>
"
398,"","","","","","",""
399,NH Groningen Hotel De Ville,OUDE BOTERINGESTRAAT,"43-45","9712 GD",Groningen,NL,""
400,"","","","","","",""
401,NH Atlanta Rotterdam,AERT VAN NESSTRAAT,"4","3012 CA",Rotterdam,NL,""
402,"","","","","","",""
403,NH Atlanta Rotterdam,DELTAPLEIN,"200","2554 EJ",Den Haag,NL,""
404,"","","","","","",""
405,NH Maastricht,FORUM,"110","6229 GV",Maastricht,NL,""
406,"","","","","","",""
407,NH Den Haag,PRINSES MARGRIETPLANTSOEN,"100","2595 BR",Den Haag,NL,""
408,"","","","","","",""
409,"","","","","","",""
410,NH Groningen,HANZEPLEIN,"132","9713 GW",Groningen,NL,""
411,"","","","","","",""
412,"","","","","","",""
413,Hotel NH City Centre Amsterdam,Spuistraat,"288 - 292","1012 VX",Amsterdam,NL,""
414,"","","","","","",""
415,Nhow Rotterdam,Wilhelminakade,"137","3072 AP",Rotterdam,NL,""
416,"","","","","","",""
417,NH Amsterdam Zuid,VAN LEIJENBERGHLAAN,"21","1082 GG",AMSTERDAM,NL,""
418,"","","","","","",""
419,NH Brussels EU Berlaymont,Karel de Grotelaan,"11 - 19","1000",Brussels,BE,""
420,"","","","","","",""
421,"","","","","","",""
422,"","","","","","",""
423,Hotel Artemis Amsterdam,John M. Keynesplein,"2","1066 EP",Amsterdam,NL,"<html>
<head>
	<title></title>
</head>
<body><span style=""font-size:10.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif"">Commissie-afspraken:</span></span>
<ul>
	<li><span style=""font-size:10.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif"">10% over netto kamerprijs;</span></span></li>
	<li><span style=""font-size:10.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif"">8% op zaalhuur &amp; DDR;</span></span></li>
	<li><span style=""font-size:10.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif"">5% op pre-booked F&amp;B</span></span></li>
</ul>
<span style=""font-size:10.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif"">Parkeren:</span></span>

<ul>
	<li><span style=""font-size:10.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif"">Hele dag &agrave; &euro;12,50 zonder overnachting;</span></span></li>
	<li><span style=""font-size:10.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif"">Meeting icm overnachting a &euro;15,00;</span></span></li>
	<li><span style=""font-size:10.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif"">halve dag &agrave; &euro; 8,50 zonder overnachting.</span></span></li>
</ul>
<br />
&nbsp;</body>
</html>
"
424,"","","","","","",""
425,Die Port Van Cleve,Nieuwezijds Voorburgwal,"176 - 180","1012 SJ",Amsterdam,NL,""
426,Van der Valk Hotel Almere,Veluwezoom,"45","1327 AK",Almere,NL,"<html>
<head>
	<title></title>
</head>
<body>Agesproken met Jeroen Janssens dat zij 12% commissie toepassen op kamerprijzen voor groepen en de rest op 10% zetten.&nbsp;<br />
<br />
Commissie wordt bovenop de actuele prijzen gezet.</body>
</html>
"
427,"","","","","","",""
428,"","","","","","",""
429,Van der Valk Hotel Apeldoorn,Landgoedlaan,"26","7325 AW",Apeldoorn,NL,""
430,"","","","","","",""
431,"","","","","","",""
432,Van der Valk De Gouden Leeuw,Veurseweg,"180","2252 AG",Voorschoten,NL,""
433,"","","","","","",""
434,Van der Valk Hotel Houten - Utrecht,Hoofdveste,"25","3992 DH",Houten,NL,""
435,"","","","","","",""
436,"","","","","","",""
437,"","","","","","",""
438,Van der Valk Hotel Leeuwarden,Lynbaan,"35","8941 BR",Leeuwarden,NL,"<html>
<head>
	<title></title>
</head>
<body><span style=""font-size:10.0pt""><span style=""color:black"">Rianne Nutma</span></span><br />
<span style=""font-size:10.0pt""><span style=""color:black"">Afdeling reserveringen</span></span><br />
&nbsp;</body>
</html>
"
439,"","","","","","",""
440,"","","","","","",""
441,Van der Valk Leiden,Haagse Schouwweg,"14","2332 KG",Leiden,NL,""
442,"","","","","","",""
443,Van der Valk Hotel Tilburg B.V.,Dokter Bloemenlaan,"8","5022 KW",Tilburg,NL,""
444,"","","","","","",""
445,"","","","","","",""
446,Van der Valk Hotel Utrecht,Winthontlaan,"4 - 6","3526 KV",Utrecht,NL,"Comfort room E130, Deluxe room E135"
447,"","","","","","",""
448,"","","","","","",""
449,"","","","","","",""
450,"","","","","","",""
451,Van der Valk Hotel Vianen - Utrecht,Prins Bernhardstraat,"75","4132 XE",Vianen,NL,""
452,"","","","","","",""
453,"","","","","","",""
454,Van der Valk Hotel Zwolle,Nieuwleusenerdijk,"1","8028 PH",Zwolle,NL,""
455,"","","","","","",""
456,"","","","","","",""
457,"","","","","","",""
458,"","","","","","",""
459,"","","","","","",""
460,"","","","","","",""
461,"","","","","","",""
462,Hilton The Hague,Zeestraat,"35","2518 AA",Den Haag,NL,"<html>
<head>
	<title></title>
</head>
<body>CONTRACT RATE 2023: &euro; 218,-&nbsp;in/ex of 10% korting op BAR<br />
<span style=""font-size:11pt;""><span style=""font-family:Calibri, sans-serif;""><span lang=""en-gb"" style=""color:#002060;"" xml:lang=""en-gb"">You can use the code, 113029409 to make an online booking. Under special rates you can fill in the number in the corporate account box.</span></span></span><br />
<span lang=""en-gb"" style=""font-size:11pt;"" xml:lang=""en-gb""><span style=""font-family:Calibri, sans-serif;""><span style=""color:#002060;"">We do recommend you to inform us on the payment method by e-mail since the system cannot take this information over automatically.</span></span></span></body>
</html>
"
463,"","","","","","",""
464,"","","","","","",""
